CustomerID,Age,Sex,Job,Marital_Status,Education_Level,Credit_Default,Housing_Loan,Personal_Loan,Contact_Method,Contact_Month,Contact_WeekDay,NoContacts_Current_Campaign,Pdays,NoContacts_PrevCampaigns,Prev_Outcome,Emp_Var_Rate,Monthly_CPI,Monthly_CCI,Euribor3m,No_Employed,Outcome
pzt398bx,37,M,technician,married,high.school,no,no,yes,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
ude143ri,36,F,unemployed,married,professional.course,no,no,yes,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
ieu428gt,48,F,admin.,married,university.degree,no,no,yes,cellular,may,thu,2,2,5,success,-1.8,93.876,-40,0.714,5008.7,0
ffo318tv,29,M,technician,single,professional.course,unknown,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.12,5195.8,0
laa485cm,37,F,admin.,single,university.degree,no,yes,no,cellular,jun,thu,1,4,5,success,-1.7,94.055,-40.3,0.714,4991.6,1
prb139om,40,F,entrepreneur,divorced,university.degree,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
mvk156cu,48,M,entrepreneur,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
oma248be,56,M,housemaid,married,unknown,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
iwp819oe,39,M,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
ngb815jh,53,F,housemaid,single,university.degree,no,no,no,telephone,jun,fri,3,999,0,nonexistent,-2.9,93.876,-36.1,0.684,5017.5,0
uxf944dj,42,M,housemaid,married,basic.6y,no,no,no,telephone,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
ive429st,36,F,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.957,5228.1,0
nqk671lb,42,F,technician,married,university.degree,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
tuv228fu,25,F,blue-collar,married,high.school,no,yes,yes,cellular,jul,fri,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
qfd634he,39,F,admin.,single,high.school,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,-2.9,92.469,-33.6,0.849,5017.5,0
nqv651rs,41,M,technician,married,high.school,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
dmo638tt,33,F,services,married,high.school,no,no,yes,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
xyb133pz,22,F,technician,single,professional.course,no,unknown,unknown,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
qwt612ka,47,M,services,married,high.school,unknown,no,no,telephone,feb,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
zcw397fq,53,F,management,married,university.degree,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
prd359uo,42,M,blue-collar,divorced,basic.9y,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0
ogc936tu,35,M,admin.,single,high.school,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
jds914lk,42,F,admin.,divorced,high.school,no,no,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
xxp728no,30,M,blue-collar,married,basic.9y,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
htp358om,43,F,unemployed,married,high.school,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
wlg831yj,34,F,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.965,5228.1,0
lcw182vf,46,F,admin.,married,high.school,no,no,no,cellular,aug,thu,9,999,0,nonexistent,1.4,93.444,-36.1,4.96,5228.1,0
fil726iq,37,F,admin.,married,university.degree,no,yes,no,cellular,sep,tue,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
smi583nh,27,M,admin.,single,university.degree,no,yes,no,cellular,mar,mon,3,999,0,nonexistent,-1.1,94.055,-38.3,0.739,4963.6,0
agh548qr,67,F,retired,married,basic.4y,no,yes,no,cellular,feb,mon,5,999,0,nonexistent,-3.4,92.431,-30.1,0.88,5076.2,0
rxe574ap,48,F,services,divorced,basic.6y,no,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,0
mqb413cr,53,F,technician,married,professional.course,no,yes,no,cellular,oct,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
qhj876bk,31,F,technician,single,university.degree,no,no,no,cellular,jun,tue,1,999,1,failure,-2.9,92.893,-40.8,1.354,5076.2,0
ngg221tk,32,F,entrepreneur,married,high.school,no,no,yes,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
jhd517bz,48,F,admin.,married,basic.9y,no,no,no,cellular,apr,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
jqd611mv,36,M,admin.,divorced,high.school,no,yes,no,cellular,jun,thu,2,999,1,failure,-1.7,94.055,-40.3,0.716,4991.6,1
cui524kz,48,F,admin.,single,high.school,no,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
uez541fy,24,F,retired,single,professional.course,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.964,5228.1,0
tog138iw,50,M,housemaid,divorced,unknown,unknown,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
tfa396mr,40,F,unemployed,married,professional.course,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.41,5099.1,0
mvp438co,28,M,technician,married,professional.course,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
upw893oa,49,M,management,married,university.degree,no,no,no,cellular,jun,thu,8,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
ojo623nl,35,M,admin.,single,high.school,no,no,no,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
ckg673ph,31,M,technician,divorced,professional.course,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
gwf286hb,34,M,admin.,married,high.school,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
btq283os,39,M,technician,divorced,professional.course,no,yes,yes,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
xvt281ak,51,M,blue-collar,divorced,basic.4y,unknown,no,yes,telephone,jun,mon,8,999,0,nonexistent,1.4,94.465,-41.8,4.963,5228.1,0
kyz198nq,55,F,blue-collar,married,basic.4y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,1
cbw734xq,43,F,services,divorced,high.school,no,no,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
alm772hw,42,F,admin.,married,university.degree,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
bqk474nq,36,F,management,married,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
eaa887ye,37,M,technician,married,basic.9y,no,yes,no,telephone,jun,mon,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
iia551jf,31,M,technician,married,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
lst813or,32,M,admin.,single,high.school,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
fft696jx,43,M,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,6,3,1,success,-1.8,92.893,-46.2,1.26,5099.1,0
tbc342wx,50,F,services,single,basic.9y,no,yes,no,cellular,may,mon,4,999,0,nonexistent,-1.8,92.893,-46.2,1.26,5099.1,0
qwy971bv,39,F,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
hzf612of,64,F,self-employed,married,university.degree,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,-1.7,93.994,-36.4,1.059,5099.1,0
xtp824px,28,M,self-employed,single,university.degree,no,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
lup154uf,45,M,technician,single,professional.course,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
bui929gx,36,M,technician,single,professional.course,no,yes,no,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
faa611tz,31,F,services,single,basic.4y,unknown,yes,no,cellular,mar,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.865,5228.1,0
kye142yx,40,F,admin.,married,high.school,no,unknown,unknown,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
qxk215aa,53,F,technician,married,professional.course,unknown,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
qdg496lt,50,F,blue-collar,married,high.school,unknown,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
hpr731gx,29,F,entrepreneur,married,high.school,no,yes,no,cellular,jul,fri,16,999,0,nonexistent,1.4,93.918,-42.7,4.97,5228.1,0
lvq852zo,63,F,housemaid,married,university.degree,no,yes,no,cellular,jul,wed,5,3,1,success,-1.8,92.893,-46.2,1.25,5099.1,1
gcn521zs,36,M,unemployed,single,university.degree,no,yes,no,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.344,5099.1,0
sjj834vn,29,M,management,married,university.degree,unknown,no,yes,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
cwy685bd,34,F,admin.,married,high.school,no,no,yes,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,1
anx369gz,55,M,housemaid,single,basic.9y,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-39.8,0.821,4991.6,1
cfd676ns,32,F,technician,single,university.degree,no,no,no,cellular,jul,thu,4,999,0,nonexistent,-2.9,92.469,-33,0.89,5076.2,1
wxk823ft,54,F,admin.,married,university.degree,no,yes,no,cellular,jul,thu,20,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
nvb352sj,28,F,blue-collar,single,unknown,no,yes,yes,telephone,may,thu,8,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
fsp657no,38,F,admin.,married,university.degree,no,yes,no,cellular,may,thu,3,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,0
hti568ij,52,F,retired,married,basic.4y,unknown,yes,no,telephone,may,mon,8,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
xsi947zm,38,F,admin.,married,university.degree,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
fmt729kf,33,M,technician,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
pbi931oz,56,M,retired,divorced,high.school,no,no,no,cellular,jul,fri,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
fta362az,40,M,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
oov311jc,25,F,admin.,single,high.school,no,no,no,telephone,may,mon,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
sfr984qy,50,M,services,married,high.school,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
qdk921fg,53,M,admin.,married,university.degree,unknown,yes,no,cellular,may,mon,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
zib524vs,45,M,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
unh349fw,29,F,admin.,married,high.school,no,no,yes,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,0
cnh353yb,51,M,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
hgk396bv,45,F,services,married,high.school,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.965,5228.1,1
bkr569ii,39,M,technician,married,university.degree,unknown,yes,no,telephone,jul,fri,4,999,0,nonexistent,1.4,93.918,-42.7,4.964,5228.1,0
jir789cj,31,F,blue-collar,single,basic.9y,no,yes,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
ibi935af,25,F,management,single,university.degree,no,no,yes,cellular,oct,mon,1,999,1,failure,-3.4,92.379,-26.9,0.735,5017.5,0
scl438uv,33,F,admin.,married,university.degree,no,no,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
eod494vr,36,F,unemployed,single,basic.9y,unknown,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.864,5228.1,0
